Nom;Pays;Annee;Poids;Titre;Quantite;Pur;Valeur;Achat;Premium
1 France suisse 1921;Suisse;1921;5;835;1;4.175;9.81;1;10
1 Franc Suisse;Suisse;1944;5;835;1;4.175;9.81;1;10
1 Franc Suisse;Suisse;1943;5;835;1;4.175;9.81;;10
10 euros Guadeloupe;France;2010;10;900;1;9.000;21.15;10;30
Netherlands 2 1/2 Gulden;Netherlands;1961;15;720;1;10.800;25.38;1;40
5 reichsmark 1936;Allemagne;1935;13.88;900;1;12.492;29.36;1;60
2 Reichsmark;Allemagne;1937;8;625;1;5.000;11.75;1;35
1/4 Dollars;Usa;1943;6.25;900;1;5.625;13.22;1;30
5 reichsmark Église;Allemagne;1935;13.88;900;1;12.492;29.36;1;55
5 Mark Aigle;Allemagne;1951;11.2;625;1;7.000;16.45;1;25
1 Franc Napoléon 3;France;1866;5;835;1;4.175;9.81;1;10